name,state,date_start,date_end,project_id,department_id,structure_id,hrbp_user_id,approval_type_id,payslip_publish_option,division_department_id,company_department_id,project_policy_id,year_of_tax_finalization,income_type,payslip_month,payslip_year
Heineken HCM 12.2021,approved,2021-11-16,2021-12-15,1872,97.0,212.0,222.0,,manual,13.0,,,,monthly_salary,12,2021
Heineken HCM (add),approved,2021-12-01,2021-12-31,1872,97.0,212.0,222.0,,manual,13.0,,,,monthly_salary,12,2021
BẢNG LƯƠNG GREIF THÁNG 01.2022,approved,2022-01-01,2022-01-31,2225,125.0,43.0,243.0,,manual,14.0,,,,monthly_salary,1,2022
Bảng lương tháng 01/2022 MAERSK DC 5,approved,2022-01-01,2022-01-31,2184,126.0,57.0,9311.0,,manual,13.0,,,,monthly_salary,1,2022
06.2022_BANG LUONG MAERSK DC2,approved,2022-05-21,2022-06-20,741,126.0,54.0,197.0,,manual,13.0,,,,monthly_salary,6,2022
BẢNG LƯƠNG FIRST SOLAR 01.2022,approved,2022-01-01,2022-01-31,779,97.0,211.0,208.0,,manual,13.0,,,,monthly_salary,1,2022
06.2022_BANG LUONG MAERSK DC3,approved,2022-05-21,2022-06-20,1971,126.0,55.0,197.0,,manual,13.0,,,,monthly_salary,6,2022
05.2022 -  SCHENKER LOGISTICS NORTH,approved,2022-05-01,2022-05-31,2286,103.0,266.0,275.0,,manual,14.0,,,,monthly_salary,5,2022
06.2022 - SCHENKER LOGISTICS NORTH,approved,2022-06-01,2022-06-30,2286,103.0,266.0,275.0,,manual,14.0,,,,monthly_salary,6,2022
06.2022_BANG LUONG MAERSK DC1.1,approved,2022-05-21,2022-06-20,2280,126.0,265.0,9311.0,,manual,13.0,,,,monthly_salary,6,2022
Import lương bổ sung Payroll ZUELLIG PHARMA,approved,2022-06-01,2022-06-30,672,126.0,240.0,238.0,,manual,13.0,,,,monthly_salary,6,2022
SAPHARCO. Bang luong thang 02.2022,approved,2022-02-01,2022-02-28,749,126.0,238.0,8455.0,,manual,13.0,,,,monthly_salary,2,2022
SAPHARCO - BANG LUONG THANG 07.2022,approved,2022-07-01,2022-07-31,749,126.0,238.0,8455.0,,manual,13.0,,,,monthly_salary,7,2022
BẢNG LƯƠNG DKSH VN THÁNG 01.2022,approved,2021-12-23,2022-01-22,694,126.0,22.0,243.0,,manual,13.0,,,,monthly_salary,1,2022
BẢNG LƯƠNG DKSH HECA THÁNG 01.2022,approved,2021-12-23,2022-01-22,696,126.0,23.0,243.0,,manual,13.0,,,,monthly_salary,1,2022
BANG LƯƠNG MAERSK SDS 01 2022,approved,2021-12-26,2022-01-25,2198,126.0,12.0,530.0,,manual,13.0,,,,monthly_salary,1,2022
06.2022-COLGATE HCM-PAYROLL,approved,2022-06-01,2022-06-30,713,125.0,10.0,195.0,,manual,14.0,,,,monthly_salary,6,2022
BẢNG LƯƠNG ITOCHU VP THÁNG 01.2022 - NCQ,approved,2022-01-01,2022-01-31,681,125.0,49.0,195.0,,manual,14.0,,,,monthly_salary,1,2022
BANG LUONG DKSH OFFICER 01 2022,approved,2021-12-23,2022-01-22,2266,126.0,21.0,9558.0,,manual,13.0,,,,monthly_salary,1,2022
BANG LUONG AKZO HQ_01 2022,approved,2022-01-01,2022-01-31,758,125.0,29.0,275.0,,manual,14.0,,,,monthly_salary,1,2022
BANG LUONG HAILONG_01 2022,approved,2021-12-23,2022-01-22,2235,126.0,25.0,9558.0,,manual,13.0,,,,monthly_salary,1,2022
BANG LUONG AT TRANSPORT_01 2022,approved,2021-12-23,2022-01-22,2220,126.0,24.0,9558.0,,manual,13.0,,,,monthly_salary,1,2022
BẢNG LƯƠNG TOPSOLVENT GO DAU THÁNG 01.2022,approved,2021-12-21,2022-01-20,697,126.0,6.0,243.0,,manual,13.0,,,,monthly_salary,1,2022
Aritco. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,759,125.0,241.0,275.0,,manual,14.0,,,,monthly_salary,1,2022
AVERY DENNISON. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,712,125.0,244.0,229.0,,manual,14.0,,,,monthly_salary,1,2022
KING JIM. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,722,103.0,258.0,275.0,,manual,14.0,,,,monthly_salary,1,2022
KONGSBERG. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,763,125.0,247.0,275.0,,manual,14.0,,,,monthly_salary,1,2022
THEP NHA BE. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,1976,126.0,196.0,195.0,,manual,13.0,,,,monthly_salary,1,2022
BV OUTSOURCING. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,686,126.0,59.0,243.0,,manual,13.0,,,,monthly_salary,1,2022
01.2022 - SAPPORO VN,approved,2022-01-01,2022-01-31,787,103.0,263.0,275.0,,manual,14.0,,,,monthly_salary,1,2022
01.2022 - YAMAHA,approved,2022-01-01,2022-01-31,2202,108.0,264.0,229.0,,manual,20.0,,,,monthly_salary,1,2022
01.2022 - FCV CRM,approved,2022-01-01,2022-01-31,810,103.0,204.0,229.0,,manual,14.0,,,,monthly_salary,1,2022
01.2022 - FCV ARAS,approved,2022-01-01,2022-01-31,814,103.0,203.0,275.0,,manual,14.0,,,,monthly_salary,1,2022
01.2022 - FCV NA CL,approved,2022-01-01,2022-01-31,784,103.0,199.0,229.0,,manual,14.0,,978.0,,monthly_salary,1,2022
FUJIFILM CTV. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,736,125.0,236.0,229.0,,manual,14.0,,,,monthly_salary,1,2022
NAM GIANG. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,1826,125.0,248.0,229.0,,manual,14.0,,,,monthly_salary,1,2022
BANG LUONG MAERSK REP_01 2022,approved,2021-12-21,2022-01-20,2187,126.0,18.0,245.0,,manual,13.0,,,,monthly_salary,1,2022
BANG LUONG AKZO DRIVER_01 2022,approved,2022-01-01,2022-01-31,2134,125.0,28.0,275.0,,manual,14.0,,,,monthly_salary,1,2022
SHISEIDO. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,761,125.0,257.0,229.0,,manual,14.0,,,,monthly_salary,1,2022
Nam Giang. Bang luong thang 01.2022,approved,2022-01-01,2022-01-31,1826,125.0,248.0,229.0,,manual,14.0,,,,monthly_salary,1,2022
Bảng lương tháng 01/2022 DC 1,approved,2022-01-01,2022-01-31,740,126.0,53.0,197.0,,manual,13.0,,,,monthly_salary,1,2022
